"Date","Price","Open","High","Low","Vol.","Change "
"Dec 31, 2023","2,299.63","2,291.70","2,304.62","2,277.97","210.88K","0.35"
"Dec 30, 2023","2,291.70","2,299.24","2,322.76","2,269.23","219.92K","-0.33"
"Dec 29, 2023","2,299.24","2,344.48","2,385.26","2,265.63","475.37K","-1.93"
"Dec 28, 2023","2,344.47","2,378.63","2,443.59","2,338.46","626.91K","-1.44"
"Dec 27, 2023","2,378.63","2,230.76","2,391.53","2,213.78","577.27K","6.63"
"Dec 26, 2023","2,230.74","2,271.38","2,274.71","2,184.60","429.50K","-1.79"
"Dec 25, 2023","2,271.38","2,263.57","2,303.28","2,253.25","298.17K","0.35"
"Dec 24, 2023","2,263.57","2,308.60","2,325.08","2,247.73","319.33K","-1.95"
"Dec 23, 2023","2,308.61","2,324.24","2,330.07","2,267.39","266.30K","-0.67"
"Dec 22, 2023","2,324.23","2,239.62","2,341.52","2,232.83","620.73K","3.78"
"Dec 21, 2023","2,239.62","2,202.19","2,277.72","2,183.35","471.46K","1.70"
"Dec 20, 2023","2,202.19","2,177.45","2,263.30","2,161.76","440.35K","1.14"
"Dec 19, 2023","2,177.44","2,218.82","2,254.75","2,137.80","400.94K","-1.86"
"Dec 18, 2023","2,218.80","2,197.01","2,223.30","2,123.06","388.26K","0.99"
"Dec 17, 2023","2,197.04","2,229.07","2,247.84","2,196.06","233.48K","-1.44"
"Dec 16, 2023","2,229.07","2,220.41","2,262.68","2,212.80","206.79K","0.39"
"Dec 15, 2023","2,220.41","2,315.40","2,317.42","2,213.18","349.63K","-4.11"
"Dec 14, 2023","2,315.64","2,260.18","2,331.63","2,237.39","461.60K","2.45"
"Dec 13, 2023","2,260.18","2,203.49","2,283.84","2,148.87","436.64K","2.57"
"Dec 12, 2023","2,203.49","2,225.33","2,243.34","2,168.18","377.05K","-0.98"
"Dec 11, 2023","2,225.34","2,352.26","2,355.02","2,164.16","678.03K","-5.40"
"Dec 10, 2023","2,352.26","2,340.55","2,376.57","2,324.18","206.78K","0.50"
"Dec 09, 2023","2,340.55","2,358.42","2,401.34","2,332.36","304.64K","-0.76"
"Dec 08, 2023","2,358.42","2,355.78","2,389.36","2,340.88","397.41K","0.11"
"Dec 07, 2023","2,355.80","2,233.45","2,381.65","2,224.61","518.61K","5.48"
"Dec 06, 2023","2,233.45","2,293.36","2,310.20","2,223.15","431.57K","-2.61"
"Dec 05, 2023","2,293.34","2,243.30","2,302.29","2,190.96","561.41K","2.22"
"Dec 04, 2023","2,243.54","2,192.79","2,272.26","2,191.43","601.45K","2.31"
"Dec 03, 2023","2,192.79","2,164.79","2,215.46","2,150.58","279.65K","1.29"
"Dec 02, 2023","2,164.79","2,087.21","2,179.73","2,086.29","344.20K","3.72"
"Dec 01, 2023","2,087.21","2,051.59","2,109.32","2,045.39","402.51K","1.74"
"Nov 30, 2023","2,051.56","2,028.99","2,054.33","2,021.44","252.49K","1.11"
"Nov 29, 2023","2,028.99","2,048.47","2,071.36","2,020.31","269.97K","-0.95"
"Nov 28, 2023","2,048.47","2,027.51","2,074.79","1,996.19","312.94K","1.03"
"Nov 27, 2023","2,027.51","2,062.30","2,071.13","1,987.43","354.28K","-1.70"
"Nov 26, 2023","2,062.64","2,082.91","2,092.80","2,038.28","259.79K","-0.98"
"Nov 25, 2023","2,083.09","2,080.63","2,089.64","2,065.17","154.35K","0.12"
"Nov 24, 2023","2,080.62","2,061.92","2,129.20","2,059.23","460.97K","0.91"
"Nov 23, 2023","2,061.92","2,063.05","2,088.20","2,040.66","264.01K","-0.06"
"Nov 22, 2023","2,063.05","1,934.62","2,090.01","1,930.66","506.35K","6.64"
"Nov 21, 2023","1,934.62","2,021.49","2,034.51","1,932.50","527.41K","-4.30"
"Nov 20, 2023","2,021.49","2,011.02","2,064.05","1,994.89","455.23K","0.52"
"Nov 19, 2023","2,011.01","1,961.72","2,014.93","1,943.63","269.02K","2.51"
"Nov 18, 2023","1,961.72","1,960.80","1,971.02","1,920.13","298.88K","0.05"
"Nov 17, 2023","1,960.80","1,961.77","1,990.24","1,908.24","430.92K","-0.05"
"Nov 16, 2023","1,961.76","2,058.93","2,089.44","1,940.44","585.12K","-4.72"
"Nov 15, 2023","2,058.93","1,979.40","2,060.95","1,967.97","455.57K","4.03"
"Nov 14, 2023","1,979.10","2,054.15","2,064.51","1,943.01","521.22K","-3.66"
"Nov 13, 2023","2,054.18","2,044.61","2,115.24","2,031.01","578.44K","0.47"
"Nov 12, 2023","2,044.61","2,053.40","2,065.35","2,020.76","354.64K","-0.43"
"Nov 11, 2023","2,053.42","2,077.72","2,089.24","2,033.56","405.96K","-1.17"
"Nov 10, 2023","2,077.78","2,120.16","2,135.91","2,068.79","640.31K","-2.00"
"Nov 09, 2023","2,120.16","1,888.42","2,131.31","1,882.91","1.21M","12.22"
"Nov 08, 2023","1,889.29","1,885.95","1,903.67","1,873.47","265.08K","0.18"
"Nov 07, 2023","1,885.97","1,900.98","1,906.55","1,852.05","370.10K","-0.79"
"Nov 06, 2023","1,900.98","1,891.81","1,913.13","1,870.00","359.00K","0.46"
"Nov 05, 2023","1,892.36","1,855.72","1,911.00","1,846.57","418.91K","1.97"
"Nov 04, 2023","1,855.72","1,832.31","1,868.52","1,824.40","190.18K","1.28"
"Nov 03, 2023","1,832.29","1,800.28","1,834.16","1,779.79","337.00K","1.78"
"Nov 02, 2023","1,800.27","1,846.60","1,873.02","1,789.00","398.43K","-2.51"
"Nov 01, 2023","1,846.60","1,815.12","1,857.00","1,783.98","509.01K","1.73"
"Oct 31, 2023","1,815.13","1,809.05","1,819.43","1,783.32","279.11K","0.34"
"Oct 30, 2023","1,809.05","1,794.96","1,829.47","1,778.59","304.47K","0.78"
"Oct 29, 2023","1,794.96","1,776.21","1,809.98","1,764.08","156.39K","1.06"
"Oct 28, 2023","1,776.21","1,779.54","1,801.12","1,772.08","134.10K","-0.19"
"Oct 27, 2023","1,779.54","1,803.38","1,803.63","1,751.77","298.24K","-1.31"
"Oct 26, 2023","1,803.13","1,787.00","1,864.81","1,764.43","471.17K","0.90"
"Oct 25, 2023","1,787.00","1,784.88","1,814.21","1,761.39","389.39K","0.12"
"Oct 24, 2023","1,784.88","1,763.79","1,853.31","1,757.32","750.21K","1.20"
"Oct 23, 2023","1,763.75","1,663.35","1,791.99","1,657.57","672.28K","6.04"
"Oct 22, 2023","1,663.35","1,628.94","1,667.50","1,623.29","246.68K","2.11"
"Oct 21, 2023","1,628.94","1,603.89","1,642.33","1,592.41","188.94K","1.56"
"Oct 20, 2023","1,603.89","1,566.78","1,629.26","1,561.62","343.61K","2.37"
"Oct 19, 2023","1,566.79","1,563.43","1,573.48","1,543.87","238.42K","0.21"
"Oct 18, 2023","1,563.43","1,564.99","1,583.77","1,556.15","199.43K","-0.10"
"Oct 17, 2023","1,564.99","1,599.48","1,600.49","1,553.63","250.22K","-2.16"
"Oct 16, 2023","1,599.48","1,557.79","1,635.46","1,555.13","452.69K","2.69"
"Oct 15, 2023","1,557.66","1,554.96","1,565.80","1,550.05","128.70K","0.17"
"Oct 14, 2023","1,554.96","1,552.17","1,559.94","1,545.32","107.26K","0.18"
"Oct 13, 2023","1,552.17","1,539.70","1,574.08","1,538.07","208.91K","0.81"
"Oct 12, 2023","1,539.70","1,566.88","1,568.47","1,523.78","260.59K","-1.73"
"Oct 11, 2023","1,566.88","1,567.62","1,578.16","1,549.16","279.01K","-0.05"
"Oct 10, 2023","1,567.60","1,579.77","1,593.73","1,552.34","255.41K","-0.77"
"Oct 09, 2023","1,579.74","1,632.85","1,635.13","1,550.10","372.11K","-3.25"
"Oct 08, 2023","1,632.85","1,633.58","1,641.30","1,616.80","159.27K","-0.04"
"Oct 07, 2023","1,633.58","1,640.59","1,643.25","1,630.18","107.55K","-0.73"
"Oct 06, 2023","1,645.62","1,611.58","1,659.99","1,611.58","238.24K","2.11"
"Oct 05, 2023","1,611.58","1,646.61","1,654.03","1,609.54","253.05K","-2.15"
"Oct 04, 2023","1,647.05","1,656.88","1,657.61","1,630.48","243.08K","-0.59"
"Oct 03, 2023","1,656.88","1,662.79","1,670.45","1,644.05","216.11K","-0.36"
"Oct 02, 2023","1,662.79","1,732.90","1,742.42","1,638.04","412.81K","-4.05"
"Oct 01, 2023","1,732.89","1,670.92","1,741.94","1,668.94","245.32K","3.71"
"Sep 30, 2023","1,670.92","1,667.71","1,693.68","1,666.25","147.60K","0.19"
"Sep 29, 2023","1,667.72","1,652.89","1,686.63","1,648.47","273.45K","0.90"
"Sep 28, 2023","1,652.89","1,598.53","1,667.61","1,598.16","354.03K","3.40"
"Sep 27, 2023","1,598.49","1,594.05","1,633.50","1,585.28","307.59K","0.28"
"Sep 26, 2023","1,594.04","1,588.62","1,597.67","1,580.60","141.61K","0.34"
"Sep 25, 2023","1,588.62","1,580.55","1,596.57","1,564.70","191.41K","0.51"
"Sep 24, 2023","1,580.55","1,593.89","1,600.37","1,573.94","144.30K","-0.84"
"Sep 23, 2023","1,593.89","1,593.10","1,597.96","1,587.79","69.31K","0.05"
"Sep 22, 2023","1,593.10","1,584.03","1,601.79","1,578.78","135.12K","0.57"
"Sep 21, 2023","1,584.03","1,622.28","1,625.31","1,569.03","264.25K","-2.36"
"Sep 20, 2023","1,622.28","1,643.14","1,649.17","1,610.14","253.88K","-1.27"
"Sep 19, 2023","1,643.08","1,636.88","1,659.53","1,627.31","201.84K","0.38"
"Sep 18, 2023","1,636.92","1,622.63","1,668.87","1,609.69","302.35K","0.88"
"Sep 17, 2023","1,622.65","1,634.41","1,635.00","1,612.87","127.49K","-0.72"
"Sep 16, 2023","1,634.41","1,641.31","1,650.04","1,631.74","107.11K","-0.42"
"Sep 15, 2023","1,641.31","1,626.49","1,652.40","1,612.25","194.29K","0.91"
"Sep 14, 2023","1,626.49","1,607.63","1,639.23","1,607.08","293.64K","1.17"
"Sep 13, 2023","1,607.63","1,592.50","1,614.43","1,582.03","238.31K","0.95"
"Sep 12, 2023","1,592.50","1,551.89","1,617.39","1,549.71","354.59K","2.62"
"Sep 11, 2023","1,551.89","1,617.44","1,618.80","1,533.95","444.95K","-4.05"
"Sep 10, 2023","1,617.44","1,635.56","1,635.72","1,604.26","220.97K","-1.11"
"Sep 09, 2023","1,635.56","1,636.45","1,637.21","1,630.12","63.97K","-0.05"
"Sep 08, 2023","1,636.45","1,648.09","1,657.53","1,618.39","236.38K","-0.71"
"Sep 07, 2023","1,648.09","1,633.18","1,658.04","1,624.07","243.55K","0.91"
"Sep 06, 2023","1,633.18","1,634.46","1,667.08","1,610.49","240.73K","-0.08"
"Sep 05, 2023","1,634.46","1,630.53","1,647.67","1,610.02","219.79K","0.24"
"Sep 04, 2023","1,630.51","1,635.86","1,643.31","1,618.49","178.25K","-0.33"
"Sep 03, 2023","1,635.85","1,637.05","1,645.16","1,625.61","124.14K","-0.07"
"Sep 02, 2023","1,637.05","1,629.00","1,644.63","1,628.11","109.03K","0.49"
"Sep 01, 2023","1,629.00","1,645.82","1,654.39","1,603.67","319.19K","-1.02"
"Aug 31, 2023","1,645.82","1,705.23","1,723.95","1,634.74","355.27K","-3.48"
"Aug 30, 2023","1,705.22","1,729.69","1,730.71","1,696.99","218.44K","-1.41"
"Aug 29, 2023","1,729.69","1,653.22","1,742.83","1,640.29","528.63K","4.63"
"Aug 28, 2023","1,653.22","1,658.34","1,660.80","1,628.79","229.39K","-0.31"
"Aug 27, 2023","1,658.33","1,647.05","1,660.11","1,646.35","94.20K","0.68"
"Aug 26, 2023","1,647.05","1,653.74","1,655.58","1,644.04","84.34K","-0.40"
"Aug 25, 2023","1,653.74","1,661.18","1,676.13","1,636.77","250.86K","-0.43"
"Aug 24, 2023","1,660.89","1,679.93","1,683.03","1,642.45","246.62K","-1.13"
"Aug 23, 2023","1,679.93","1,634.30","1,697.63","1,629.86","399.71K","2.79"
"Aug 22, 2023","1,634.29","1,667.60","1,669.22","1,588.36","424.51K","-2.00"
"Aug 21, 2023","1,667.60","1,685.24","1,686.11","1,651.77","265.91K","-1.05"
"Aug 20, 2023","1,685.24","1,669.68","1,692.47","1,662.82","205.82K","0.93"
"Aug 19, 2023","1,669.67","1,661.27","1,693.88","1,654.35","243.31K","0.51"
"Aug 18, 2023","1,661.26","1,681.51","1,698.77","1,646.32","572.90K","-1.34"
"Aug 17, 2023","1,683.89","1,807.81","1,809.81","1,560.88","876.70K","-6.85"
"Aug 16, 2023","1,807.81","1,828.98","1,831.52","1,803.31","217.47K","-1.16"
"Aug 15, 2023","1,828.98","1,845.51","1,847.35","1,816.32","196.60K","-0.90"
"Aug 14, 2023","1,845.51","1,840.73","1,856.48","1,835.90","158.11K","0.26"
"Aug 13, 2023","1,840.73","1,849.94","1,861.50","1,835.51","126.51K","-0.50"
"Aug 12, 2023","1,849.94","1,848.88","1,853.54","1,846.13","66.93K","0.06"
"Aug 11, 2023","1,848.88","1,852.46","1,857.17","1,840.65","120.55K","-0.19"
"Aug 10, 2023","1,852.46","1,855.36","1,865.94","1,847.34","134.21K","-0.16"
"Aug 09, 2023","1,855.36","1,856.24","1,870.48","1,846.76","203.58K","-0.05"
"Aug 08, 2023","1,856.24","1,829.10","1,871.77","1,826.40","253.39K","1.48"
"Aug 07, 2023","1,829.11","1,830.28","1,846.41","1,805.30","243.92K","-0.06"
"Aug 06, 2023","1,830.28","1,836.48","1,838.08","1,826.12","100.32K","-0.34"
"Aug 05, 2023","1,836.48","1,830.24","1,838.62","1,827.52","103.08K","0.34"
"Aug 04, 2023","1,830.24","1,835.98","1,849.13","1,819.65","199.60K","-0.31"
"Aug 03, 2023","1,835.98","1,839.76","1,858.62","1,828.34","182.56K","-0.23"
"Aug 02, 2023","1,840.21","1,874.21","1,879.32","1,822.94","272.70K","-1.81"
"Aug 01, 2023","1,874.21","1,856.17","1,875.00","1,818.06","386.29K","0.97"
"Jul 31, 2023","1,856.17","1,861.81","1,876.03","1,851.42","177.97K","-0.30"
"Jul 30, 2023","1,861.81","1,880.55","1,884.33","1,851.63","167.77K","-1.00"
"Jul 29, 2023","1,880.55","1,874.23","1,886.26","1,869.74","79.76K","0.34"
"Jul 28, 2023","1,874.23","1,861.32","1,882.23","1,856.90","148.92K","0.69"
"Jul 27, 2023","1,861.32","1,872.00","1,885.87","1,855.40","176.21K","-0.57"
"Jul 26, 2023","1,872.00","1,857.67","1,886.92","1,849.43","286.61K","0.77"
"Jul 25, 2023","1,857.67","1,850.05","1,867.36","1,845.68","161.06K","0.41"
"Jul 24, 2023","1,850.04","1,888.85","1,890.78","1,835.14","297.13K","-2.05"
"Jul 23, 2023","1,888.85","1,866.26","1,903.95","1,858.12","164.31K","1.21"
"Jul 22, 2023","1,866.25","1,891.75","1,897.03","1,854.09","143.13K","-1.35"
"Jul 21, 2023","1,891.75","1,891.68","1,905.57","1,884.95","176.39K","0.03"
"Jul 20, 2023","1,891.23","1,888.64","1,928.36","1,879.39","321.92K","0.14"
"Jul 19, 2023","1,888.65","1,897.58","1,920.48","1,882.18","244.92K","-0.47"
"Jul 18, 2023","1,897.58","1,911.24","1,917.21","1,877.52","233.00K","-0.71"
"Jul 17, 2023","1,911.24","1,922.45","1,935.99","1,876.00","293.54K","-0.58"
"Jul 16, 2023","1,922.45","1,931.43","1,942.55","1,918.01","158.59K","-0.46"
"Jul 15, 2023","1,931.42","1,938.05","1,946.10","1,926.83","145.89K","-0.34"
"Jul 14, 2023","1,938.05","2,004.77","2,025.56","1,900.22","530.86K","-3.33"
"Jul 13, 2023","2,004.77","1,871.86","2,010.75","1,863.22","588.53K","7.10"
"Jul 12, 2023","1,871.86","1,878.33","1,901.45","1,865.11","280.91K","-0.34"
"Jul 11, 2023","1,878.33","1,880.42","1,889.83","1,863.93","191.47K","-0.11"
"Jul 10, 2023","1,880.42","1,862.91","1,903.82","1,846.71","264.83K","0.94"
"Jul 09, 2023","1,862.91","1,865.28","1,878.22","1,856.97","145.47K","-0.13"
"Jul 08, 2023","1,865.28","1,870.92","1,873.16","1,843.82","136.69K","-0.30"
"Jul 07, 2023","1,870.92","1,848.29","1,877.51","1,827.35","249.82K","1.22"
"Jul 06, 2023","1,848.36","1,910.43","1,957.58","1,847.01","483.00K","-3.25"
"Jul 05, 2023","1,910.43","1,936.21","1,942.15","1,896.43","284.34K","-1.33"
"Jul 04, 2023","1,936.19","1,955.56","1,966.03","1,931.64","226.10K","-0.99"
"Jul 03, 2023","1,955.56","1,937.57","1,974.61","1,934.51","346.33K","0.93"
