Date,Price,Open,High,Low,Vol.,Change,Yesterday Price,Tomorrow Price,30 Day Average,7 Day Average,10-day SMA,20-day SMA,50-day SMA,12-day EMA,26-day EMA,50-day EMA
2023-02-19,1681.52,1691.62,1722.28,1670.97,427.00,-0.6,1691.62,1703.27,1611.8296666666668,1634.9271428571428,1601.209,1616.138,1523.8570000000002,1630.0222643068137,1596.1823406530568,1526.7915607617883
2023-02-20,1703.27,1681.49,1719.10,1651.54,478.59,1.29,1681.52,1659.41,1614.421,1663.1314285714286,1620.154,1622.038,1533.9119999999998,1641.29114672115,1604.1147598639413,1533.7122838691691
2023-02-21,1659.41,1703.29,1716.35,1637.16,554.52,-2.58,1703.27,1643.39,1615.5003333333334,1677.9814285714285,1632.261,1622.9035,1542.8216,1644.078662610204,1608.2107035777235,1538.6416060703782
2023-02-22,1643.39,1659.41,1666.39,1600.79,560.40,-0.97,1659.41,1650.52,1616.062333333333,1673.4042857142856,1645.056,1622.9875000000002,1551.398,1643.9727145163265,1610.8165773867809,1542.7493862244812
2023-02-23,1650.52,1643.39,1678.20,1630.94,529.75,0.43,1643.39,1608.24,1619.208,1674.812857142857,1659.524,1622.324,1559.27,1644.9799892061224,1613.7575716544266,1546.9756848039133
2023-02-24,1608.24,1650.52,1663.82,1579.68,548.07,-2.56,1650.52,1594.66,1619.1093333333333,1662.567142857143,1664.8020000000001,1619.391,1566.4158000000002,1639.327683174411,1613.3488626429876,1549.3782069684657
2023-02-25,1594.66,1608.24,1608.62,1562.10,309.29,-0.84,1608.24,1641.60,1618.8463333333336,1648.7157142857143,1656.725,1617.652,1572.9261999999999,1632.4557319168093,1611.9645024472106,1551.1539635579377
2023-02-26,1641.60,1594.66,1648.77,1588.65,326.58,2.94,1594.66,1633.66,1620.3129999999999,1643.0128571428572,1656.819,1619.0459999999998,1580.4802000000002,1633.8625423911462,1614.159724488158,1554.7008669478223
2023-02-27,1633.66,1641.59,1664.98,1609.82,458.53,-0.48,1641.60,1604.69,1622.3326666666665,1633.0685714285714,1650.789,1617.159,1587.3858000000002,1633.8313820232777,1615.604189340887,1557.7973035381037
2023-02-28,1604.69,1633.66,1646.33,1598.67,411.49,-1.77,1633.66,1666.09,1620.9566666666665,1625.2514285714285,1642.096,1614.844,1593.0693999999996,1629.3480924812347,1614.7957308711916,1559.6362328111193
2023-03-01,1666.09,1604.69,1668.55,1595.40,497.12,3.83,1604.69,1647.38,1624.276333333333,1628.4942857142855,1640.5529999999999,1620.8809999999999,1599.6886000000002,1635.0006936379677,1618.5953063622144,1563.810890347938
2023-03-02,1647.38,1666.09,1677.45,1620.20,440.63,-1.12,1666.09,1568.89,1626.3466666666668,1628.0457142857144,1634.964,1627.559,1604.8394,1636.9052023090496,1620.7275058909393,1567.0881103342933
2023-03-03,1568.89,1647.86,1649.19,1547.61,783.74,-4.76,1647.38,1566.73,1623.9063333333334,1622.4242857142858,1625.9119999999998,1629.0865000000001,1607.8956,1626.4413250307343,1616.8876906397586,1567.158772674125
2023-03-04,1566.73,1569.45,1577.02,1550.10,247.02,-0.14,1568.89,1564.37,1621.407,1618.4342857142856,1618.246,1631.651,1610.2130000000002,1617.2549673336982,1613.1723061479247,1567.1419580594536
2023-03-05,1564.37,1566.73,1587.95,1556.84,313.01,-0.15,1566.73,1565.84,1618.093,1607.4014285714288,1609.6309999999999,1634.5774999999999,1610.5,1609.118818513129,1609.5573205073376,1567.0332538218279
2023-03-06,1565.84,1564.36,1581.13,1555.43,322.16,0.09,1564.37,1561.78,1614.7243333333333,1597.7128571428573,1605.391,1635.0965,1610.763,1602.4605387418785,1606.3190004697572,1566.9864595543054
2023-03-07,1561.78,1565.84,1580.95,1536.31,460.10,-0.26,1565.84,1533.04,1612.469,1591.5828571428572,1602.103,1629.414,1610.4597999999999,1596.201994320051,1603.019815249775,1566.782284669823
2023-03-08,1533.04,1561.79,1569.70,1531.28,478.44,-1.84,1561.78,1438.50,1609.7796666666668,1572.5757142857144,1591.2469999999998,1624.033,1609.8272,1586.4847644246586,1597.8361252312732,1565.459057820026
2023-03-09,1438.50,1533.04,1545.98,1413.17,764.77,-6.17,1533.04,1426.75,1602.0163333333335,1542.7357142857143,1571.731,1611.26,1608.371,1563.7178775900957,1586.0334492882157,1560.4802712388484
2023-03-10,1426.75,1437.49,1437.49,1371.47,1.01,-0.82,1438.50,1471.15,1594.5416666666667,1522.43,1553.937,1598.0165,1605.8736000000001,1542.6458964223887,1574.2346752668664,1555.2359468765408
2023-03-11,1471.15,1426.74,1475.92,1408.58,1.43,3.11,1426.75,1580.24,1592.0683333333332,1508.7757142857142,1534.443,1587.498,1602.0969999999998,1531.6465277420211,1566.5987733952466,1551.9384587637353
2023-03-12,1580.24,1472.08,1585.09,1452.33,1.06,7.42,1471.15,1673.93,1594.2823333333333,1511.042857142857,1527.729,1581.3465,1601.1912,1539.122446550941,1567.6092346252283,1553.0483231259418
2023-03-13,1673.93,1580.28,1690.18,1565.83,1.30,5.93,1580.24,1700.15,1598.8020000000001,1526.4842857142855,1538.2330000000002,1582.0725,1602.1291999999999,1559.8620701584887,1575.4848468752114,1557.7887810425716
2023-03-14,1700.15,1673.83,1776.65,1655.74,1.36,1.57,1673.93,1649.65,1604.9589999999998,1546.2514285714285,1551.575,1584.9105,1603.6016,1581.4448285956444,1584.7193026622328,1563.371573942863
2023-03-15,1649.65,1700.14,1716.56,1614.93,1.02,-2.97,1700.15,1673.85,1609.7526666666668,1562.9099999999999,1560.103,1584.8670000000002,1605.4716,1591.9379318886222,1589.528983946512,1566.7550416313784
2023-03-16,1673.85,1649.66,1689.09,1634.21,660.14,1.47,1649.65,1789.38,1613.6989999999998,1596.5314285714285,1570.904,1588.1475,1606.7246000000002,1604.5397885211419,1595.774985135659,1570.954843920344
2023-03-17,1789.38,1673.76,1796.74,1663.67,975.13,6.9,1673.85,1758.70,1617.4973333333332,1648.3357142857144,1593.664,1597.8835000000001,1610.4612,1632.9767441332738,1610.1160973478325,1579.520536315625
2023-03-18,1758.70,1789.38,1833.82,1751.14,763.06,-1.71,1789.38,1779.47,1621.432,1689.4142857142856,1616.23,1603.7385,1613.6832000000002,1652.3187834973855,1621.122312359104,1586.5471819503064
2023-03-19,1779.47,1758.70,1838.84,1758.66,574.73,1.18,1758.70,1732.31,1624.2823333333333,1717.8757142857144,1650.327,1611.029,1617.8112000000003,1671.8805091131724,1632.851770702874,1594.1127826581376
2023-03-20,1732.31,1780.12,1802.76,1723.90,716.26,-2.65,1779.47,1803.54,1625.6386666666665,1726.2157142857143,1680.8830000000003,1617.41,1619.5380000000002,1681.177353864992,1640.2190469471057,1599.5322813774264
2023-03-21,1803.54,1732.32,1833.12,1719.55,779.81,4.11,1732.31,1734.48,1629.706,1740.9857142857145,1714.122,1624.2825,1624.2788,1700.002376347301,1652.3168953213942,1607.5325840685077
2023-03-22,1734.48,1801.58,1818.47,1711.05,933.24,-3.83,1803.54,1814.08,1630.7463333333333,1753.1042857142857,1729.5459999999998,1628.6375,1627.263,1705.3066261400238,1658.403051223513,1612.5109141050368
2023-03-23,1814.08,1734.32,1852.48,1729.38,767.73,4.59,1734.48,1749.26,1635.9020000000003,1773.137142857143,1743.5610000000001,1640.8970000000002,1630.7025999999998,1722.0409913492508,1669.9346770588083,1620.4155841401337
2023-03-24,1749.26,1813.62,1818.53,1728.69,602.30,-3.57,1814.08,1742.34,1639.431,1767.4057142857143,1748.4720000000002,1650.0235,1632.8536000000001,1726.2285311416738,1675.810626906304,1625.4683063307166
2023-03-25,1742.34,1749.28,1761.66,1714.43,368.84,-0.4,1749.26,1774.06,1642.4916666666666,1765.0685714285714,1757.741,1658.922,1634.4245999999998,1728.7072186583393,1680.7387286169483,1630.0515100040218
2023-03-26,1774.06,1742.32,1796.77,1739.39,371.97,1.82,1742.34,1714.65,1648.019,1764.2957142857142,1767.762,1669.333,1636.5678,1735.6845696339794,1687.6514153860633,1635.6989017685698
2023-03-27,1714.65,1773.91,1780.06,1691.38,607.00,-3.35,1774.06,1772.63,1652.0186666666666,1761.7728571428572,1760.289,1676.9765,1638.272,1732.4484819979828,1689.6513105426513,1638.7950232678418
2023-03-28,1772.63,1714.65,1792.38,1702.95,561.33,3.38,1714.65,1793.27,1656.3863333333331,1757.357142857143,1761.682,1688.9560000000001,1641.4502,1738.630253998293,1695.7978801320846,1644.0434537279264
2023-03-29,1793.27,1772.64,1825.01,1772.64,564.93,1.16,1772.63,1793.59,1661.7066666666667,1765.7557142857142,1763.062,1706.6945,1643.8876,1747.0363687677864,1703.0180371593376,1649.8954751503607
2023-03-30,1793.59,1793.16,1828.91,1766.90,607.74,0.02,1793.27,1821.62,1668.0033333333333,1762.8285714285714,1769.1899999999998,1725.0365000000002,1646.7395999999999,1754.1984658804345,1709.727071443831,1655.530554556229
2023-03-31,1821.62,1793.59,1845.54,1782.26,579.01,1.56,1793.59,1820.78,1673.187666666667,1773.1657142857143,1770.998,1742.56,1652.265,1764.5710095911368,1718.0154365220656,1662.0438661422593
2023-04-01,1820.78,1821.62,1840.27,1811.67,283.39,-0.05,1821.62,1795.01,1678.9676666666667,1784.3714285714284,1779.628,1754.587,1658.4042,1773.2185465771158,1725.6276264093199,1668.2688125680531
2023-04-02,1795.01,1820.78,1824.32,1775.81,334.84,-1.42,1820.78,1810.77,1686.505,1787.3642857142856,1777.721,1760.641,1663.5376,1776.571077872944,1730.767061490111,1673.2390552124434
2023-04-03,1810.77,1795.01,1838.71,1764.26,657.58,0.88,1795.01,1870.52,1694.6396666666667,1801.0957142857144,1783.872,1766.172,1669.4442000000001,1781.8324505078758,1736.6932050834362,1678.6324255962693
2023-04-04,1870.52,1810.77,1887.33,1802.51,658.37,3.3,1810.77,1908.96,1704.8446666666669,1815.0800000000002,1796.69,1777.2154999999998,1676.7377999999999,1795.4766888912795,1746.6063010031814,1686.1574285140625
2023-04-05,1908.96,1870.52,1936.10,1864.64,583.84,2.05,1870.52,1872.35,1716.282,1831.607142857143,1810.1799999999998,1788.971,1683.8078,1812.9356598310828,1758.6325009288717,1694.894784258609
2023-04-06,1872.35,1908.95,1908.95,1855.89,420.80,-1.92,1908.96,1863.46,1726.6343333333332,1842.8585714285714,1825.95,1793.1195,1687.7462,1822.0763275493778,1767.0560193785848,1701.8538123268988
2023-04-07,1863.46,1872.35,1882.56,1844.43,298.77,-0.47,1872.35,1848.93,1737.6483333333333,1848.8357142857142,1835.0330000000001,1798.3574999999996,1692.2022,1828.4430463879348,1774.1970549801713,1708.1913098827067
2023-04-08,1848.93,1863.45,1879.11,1847.72,207.67,-0.78,1863.46,1858.90,1751.3293333333334,1852.857142857143,1840.5990000000002,1801.8304999999996,1695.3015999999998,1831.5948854051758,1779.732828685344,1713.710474201032
2023-04-09,1858.90,1848.93,1871.87,1825.60,306.40,0.54,1848.93,1910.36,1765.7343333333333,1861.9842857142855,1847.1300000000003,1808.1599999999999,1698.6472,1835.795672265918,1785.597063597541,1719.4041810951094
2023-04-10,1910.36,1858.90,1916.53,1847.39,457.41,2.77,1858.90,1889.86,1780.3746666666668,1876.2114285714285,1856.0039999999997,1813.5009999999997,1703.224,1847.2671073019305,1794.8387625903156,1726.8926445815757
2023-04-11,1889.86,1910.35,1935.75,1884.64,428.26,-1.07,1910.36,1916.58,1790.6953333333333,1878.9742857142858,1862.9119999999998,1821.27,1706.9558000000002,1853.8198600247106,1801.8773727688108,1733.2835212646512
2023-04-12,1916.58,1889.86,1930.46,1857.35,669.43,1.41,1889.86,2012.11,1798.7836666666665,1880.0628571428572,1875.0690000000002,1826.395,1712.0992,1863.4752661747552,1810.3738636748249,1740.4716184699591
2023-04-13,2012.11,1916.59,2018.73,1899.96,721.56,4.98,1916.58,2099.98,1809.1823333333334,1900.0285714285712,1895.203,1839.5375,1719.4736000000003,1886.342148301716,1825.3172811803934,1751.124104020157
2023-04-14,2099.98,2012.12,2127.56,2009.53,957.03,4.37,2012.11,2090.59,1824.1933333333334,1933.817142857143,1918.149,1857.4195,1728.4628,1919.209510101452,1845.6626677596237,1764.8047273919153
2023-04-15,2090.59,2099.98,2110.30,2074.33,340.60,-0.45,2099.98,2119.29,1838.0846666666666,1968.3400000000001,1936.3120000000004,1873.2459999999999,1738.1097999999997,1945.5757393166132,1863.8054331107628,1777.5806204353696
2023-04-16,2119.29,2090.59,2137.56,2073.26,342.43,1.37,2090.59,2074.74,1849.0816666666665,2005.5385714285712,1961.0059999999999,1893.4780000000003,1748.6024000000002,1972.3010101909804,1882.730215843299,1790.9809882614336
2023-04-17,2074.74,2118.61,2119.18,2062.17,448.14,-2.1,2119.29,2103.34,1859.6163333333332,2029.0214285714285,1982.134,1908.5835,1757.2651999999998,1988.0608547769834,1896.9531628178693,1802.1087926433381
2023-04-18,2103.34,2074.74,2121.27,2056.86,437.10,1.38,2074.74,1935.97,1870.412,2059.5185714285712,2007.575,1924.087,1766.6587999999997,2005.7961078882167,1912.2410766832122,1813.9217811671288
2023-04-19,1935.97,2103.36,2104.31,1925.00,855.36,-7.96,2103.34,1942.72,1877.2006666666668,2062.2885714285712,2015.2819999999997,1931.2059999999997,1773.2844,1995.053629751568,1913.998774706678,1818.7079858272414
2023-04-20,1942.72,1935.97,1977.95,1917.71,665.65,0.35,1935.97,1849.81,1881.8400000000001,2052.3757142857144,2018.518,1937.261,1778.8169999999998,1987.0023020974804,1916.1262728765537,1823.5712020693104
2023-04-21,1849.81,1942.72,1955.35,1831.47,769.94,-4.78,1942.72,1873.95,1885.6843333333334,2016.637142857143,2014.5130000000001,1938.7125,1782.8656,1965.8957940824835,1911.2139563671794,1824.6001745371807
2023-04-22,1873.95,1848.88,1886.22,1845.73,351.72,1.3,1849.81,1862.05,1887.6799999999998,1985.6885714285713,2010.25,1942.6595000000002,1788.9668000000001,1951.7502873005628,1908.453663302944,1826.5354618102324
2023-04-23,1862.05,1873.96,1881.92,1839.05,368.77,-0.63,1873.95,1841.88,1891.4396666666667,1948.94,1995.2440000000001,1945.2234999999996,1794.8731999999998,1937.9502431004762,1905.0163549101335,1827.9281887980665
2023-04-24,1841.88,1862.04,1889.09,1809.80,480.28,-1.08,1862.05,1865.95,1894.7576666666666,1915.6742857142858,1969.4339999999997,1943.7915,1800.4234,1923.1702057004031,1900.3395878797533,1828.4753186491228
2023-04-25,1865.95,1841.88,1877.54,1804.20,491.98,1.31,1841.88,1866.05,1897.8206666666667,1881.7614285714285,1946.97,1941.641,1806.4256,1914.3670971311103,1897.7922109997714,1829.9449139962162
2023-04-26,1866.05,1865.95,1963.46,1793.76,958.23,0.01,1865.95,1908.81,1902.8673333333331,1871.7728571428572,1921.646,1941.3260000000002,1812.511,1906.9336975724777,1895.4409361108994,1831.3607997218548
2023-04-27,1908.81,1866.05,1937.55,1862.37,771.48,2.29,1866.05,1891.14,1907.4066666666668,1866.9285714285713,1905.0529999999999,1943.5935000000002,1820.0263999999997,1907.2223594844043,1896.4312371397218,1834.3980232621743
2023-04-28,1891.14,1908.79,1922.85,1875.03,408.45,-0.93,1908.81,1907.80,1910.669,1872.8328571428572,1883.8329999999999,1945.7040000000002,1829.0792,1904.7481503329575,1896.0392936478906,1836.6231988205207
2023-04-29,1907.80,1890.93,1915.90,1886.27,193.47,0.88,1891.14,1868.88,1914.4759999999999,1877.6685714285716,1881.0160000000003,1948.1490000000001,1838.7002,1905.2176656663487,1896.9104570813802,1839.4144459255983
2023-04-30,1868.88,1907.80,1937.86,1868.88,377.71,-2.04,1907.80,1830.75,1916.0513333333333,1878.6442857142858,1873.632,1946.075,1846.6548,1899.6272555638334,1894.834126927204,1840.5699578500846
2023-05-01,1830.75,1869.05,1885.70,1807.30,475.92,-2.04,1868.88,1869.74,1916.3836666666668,1877.054285714286,1871.7259999999999,1943.1195,1851.665,1889.030754707859,1890.0871545622258,1840.1848614638068
2023-05-02,1869.74,1830.75,1878.70,1823.25,391.27,2.13,1830.75,1904.74,1918.8746666666666,1877.5957142857144,1871.3049999999998,1940.7774999999997,1855.5811999999999,1886.0629462912652,1888.579957927987,1841.3438865044418
2023-05-03,1904.74,1869.74,1915.00,1844.72,489.66,1.87,1869.74,1877.06,1922.007,1883.122857142857,1875.5739999999998,1935.409,1859.6729999999998,1888.9363391695322,1889.7769980814692,1843.8300086023069
2023-05-04,1877.06,1904.76,1915.15,1868.18,372.69,-1.45,1904.74,1993.33,1922.225,1878.587142857143,1879.092,1924.2630000000001,1864.2212,1887.1092100665273,1888.8349982235825,1845.1331455198633
2023-05-05,1993.33,1877.06,1996.64,1875.66,589.05,6.19,1877.06,1896.48,1925.0373333333332,1893.185714285714,1891.8300000000004,1919.4,1870.6108,1903.4508700562924,1896.5753687255394,1850.9447868720256
2023-05-06,1896.48,1993.33,2013.10,1868.09,658.63,-4.86,1993.33,1870.99,1925.8416666666667,1891.5685714285717,1894.873,1908.2594999999997,1872.7528,1902.3784285091706,1896.5683043754996,1852.7304815044954
2023-05-07,1870.99,1896.48,1931.39,1870.94,441.65,-1.34,1896.48,1847.48,1926.0926666666667,1891.8700000000001,1891.091,1898.0720000000001,1874.9986,1897.5494395077599,1894.6736151624996,1853.446541053339
2023-05-08,1847.48,1871.03,1883.54,1813.63,667.82,-1.26,1870.99,1846.56,1926.0443333333335,1894.26,1886.725,1885.279,1876.3587999999997,1889.8464488142586,1891.1777918171292,1853.2125590512474
2023-05-09,1846.56,1847.48,1858.57,1832.05,318.79,-0.05,1847.48,1840.92,1925.633,1890.9485714285713,1880.6009999999999,1880.8084999999999,1878.6437999999998,1883.1869951505264,1887.8727702010456,1852.9516743825711
2023-05-10,1840.92,1846.56,1886.83,1797.07,685.11,-0.31,1846.56,1794.71,1923.3183333333332,1881.8314285714284,1877.8049999999998,1875.7185000000002,1879.3914000000002,1876.6843805119838,1884.3947872231904,1852.4798440146274
2023-05-11,1794.71,1840.92,1841.04,1774.30,548.42,-2.51,1840.92,1807.31,1920.1466666666665,1870.0671428571427,1874.2010000000002,1872.9635000000003,1880.596,1864.072937356294,1877.7514696511023,1850.2143599356223
2023-05-12,1807.31,1794.71,1812.46,1741.48,598.87,0.7,1794.71,1794.95,1916.5043333333335,1843.492857142857,1867.9579999999999,1869.6315,1880.4605999999999,1855.3401777630181,1872.53358301028,1848.5318360165784
2023-05-13,1794.95,1807.31,1814.55,1786.23,223.65,-0.68,1807.31,1799.36,1909.2656666666667,1828.9885714285715,1856.979,1866.2765000000004,1881.3744,1846.0493811840925,1866.7866509354442,1846.4305875453401
2023-05-14,1799.36,1795.11,1822.93,1791.86,229.74,0.25,1794.95,1817.11,1899.245,1818.7557142857142,1849.209,1864.1504999999997,1882.5148,1838.866399463463,1861.7920841994855,1844.5846821514053
2023-05-15,1817.11,1799.36,1845.27,1786.61,405.84,0.99,1799.36,1823.98,1890.1290000000001,1814.4171428571428,1831.5870000000002,1861.7085,1883.3757999999998,1835.5192610844688,1858.482300184709,1843.507243635664
2023-05-16,1823.98,1817.11,1830.01,1797.60,325.77,0.38,1817.11,1821.73,1880.2853333333333,1811.1914285714286,1824.337,1859.605,1885.5624000000003,1833.7439901483967,1855.926574245101,1842.741469375442
2023-05-17,1821.73,1823.98,1834.44,1785.78,376.26,-0.12,1823.98,1800.99,1871.8516666666667,1808.4500000000003,1819.411,1855.2510000000002,1886.5444,1831.8956839717202,1853.3934946713898,1841.9174901842482
2023-05-18,1800.99,1822.12,1831.51,1774.77,311.24,-1.14,1821.73,1812.32,1861.7733333333333,1809.347142857143,1814.762,1850.7435,1886.6988000000001,1827.1409633606863,1849.511754325361,1840.3124905691798
2023-05-19,1812.32,1800.95,1829.33,1796.99,253.50,0.63,1800.99,1819.68,1857.6516666666664,1810.0628571428572,1811.3380000000002,1845.9695,1887.0734,1824.86081515135,1846.7568095605193,1839.2147458409765
2023-05-20,1819.68,1812.32,1828.06,1807.08,134.46,0.41,1812.32,1804.89,1853.5503333333331,1813.5957142857144,1809.214,1843.5095000000001,1887.0346000000002,1824.0637666665268,1844.751119963444,1838.4486773766246
2023-05-21,1804.89,1819.66,1827.47,1799.03,170.05,-0.81,1819.68,1817.19,1852.0529999999999,1814.3857142857144,1810.232,1842.2165,1886.7168000000001,1821.1139564101381,1841.7984444105962,1837.1326508128354
2023-05-22,1817.19,1804.89,1827.38,1792.35,250.27,0.68,1804.89,1854.08,1850.161,1814.3971428571429,1811.22,1839.5890000000004,1887.1604,1820.5102708085785,1839.9755966764778,1836.3505860750772
2023-05-23,1854.08,1817.19,1868.89,1815.41,428.05,2.03,1817.19,1799.91,1849.8953333333334,1818.697142857143,1817.1330000000003,1837.0559999999998,1888.0265999999997,1825.6748445303356,1841.020367293035,1837.045857209388
2023-05-24,1799.91,1854.08,1854.08,1781.70,441.64,-2.92,1854.08,1805.69,1848.4963333333333,1815.5800000000002,1817.188,1833.1985,1886.6144,1821.7110222948993,1837.9751549009582,1835.5895490835296
2023-05-25,1805.69,1799.91,1817.05,1764.92,370.60,0.32,1799.91,1827.80,1846.4876666666667,1816.2514285714285,1816.0459999999998,1823.8165000000001,1884.549,1819.2462496341454,1835.5836619453316,1834.4170177469207
2023-05-26,1827.80,1805.62,1837.39,1798.10,290.89,1.22,1805.69,1829.91,1845.2126666666668,1818.462857142857,1816.4279999999999,1820.3825000000002,1883.6580000000001,1820.5622112288922,1835.0070943938256,1834.1575268548847
2023-05-27,1829.91,1827.80,1835.94,1817.35,147.46,0.12,1827.80,1908.35,1842.5826666666665,1819.9242857142856,1817.2459999999999,1818.3285,1882.987,1822.0003325782934,1834.6295318461348,1833.990957174301
2023-05-28,1908.35,1829.91,1914.92,1824.70,401.09,4.29,1829.91,1892.61,1843.1563333333331,1834.7042857142858,1827.982,1821.372,1884.1754,1835.2848967970176,1840.0903072649396,1836.9069980694264
2023-05-29,1892.61,1908.37,1925.74,1878.33,338.07,-0.83,1908.35,1900.59,1842.65,1845.4785714285713,1836.011,1823.6745000000003,1884.8496,1844.1041434436302,1843.980654874944,1839.0914295176842
2023-05-30,1900.59,1892.61,1915.91,1882.97,288.67,0.42,1892.61,1873.63,1843.7069999999999,1852.122857142857,1844.102,1826.658,1884.6542,1852.7942752215333,1848.1739396990224,1841.5031381640495
2023-05-31,1873.63,1900.59,1906.21,1852.00,337.87,-1.42,1900.59,1861.77,1845.1363333333331,1862.6542857142856,1850.976,1830.604,1884.3296,1855.9997713412974,1850.0595737953913,1842.7630150987927
2023-06-01,1861.77,1873.62,1888.07,1846.23,286.98,-0.63,1873.63,1907.10,1844.8706666666667,1870.6657142857143,1855.434,1833.327,1883.2334,1856.8874988272519,1850.9270127735106,1843.5083870557028
2023-06-02,1907.10,1861.77,1910.01,1847.84,329.16,2.43,1861.77,1892.05,1844.9493333333335,1881.9942857142855,1860.736,1838.9344999999998,1881.1331999999998,1864.6124990076746,1855.0879747902875,1846.0021757986165
